SYEAR,SMTH,NAICS,_EMPLOYMENT_
2006,1,Aboriginal public administration[914],1000
2006,1,Accommodation services[721],32750
2006,1,Administrative and support services[561],76750
2006,1,Air transportation[481],15000
2006,1,Ambulatory health care services[621],51500
2006,1,"Amusement, gambling and recreation industries[713]",36750
2006,1,Animal production and aquaculture[112],7750
2006,1,Beverage and tobacco product manufacturing[312],4750
2006,1,Broadcasting (except Internet)[515],3250
2006,1,Building material and garden equipment and supplies dealers[444],20500
2006,1,Building material and supplies merchant wholesalers[416],9000
2006,1,"Business-to-business electronic markets, and agents and brokers[419]",1250
2006,1,Chemical manufacturing[325],6750
2006,1,Clothing and clothing accessories stores[448],23750
2006,1,Clothing manufacturing[315],3500
2006,1,Computer and electronic product manufacturing[334],8750
2006,1,Construction of buildings[236],56750
2006,1,Couriers and messengers[492],8500
2006,1,Credit intermediation and related activities[522],39000
2006,1,Crop production[111],17250
2006,1,"Data processing, hosting, and related services[518]",2000
2006,1,Educational services[611],154250
2006,1,"Electrical equipment, appliance and component manufacturing[335]",3250
2006,1,Electronics and appliance stores[443],13000
2006,1,Fabricated metal product manufacturing[332],14750
2006,1,Farm product merchant wholesalers[411],500
2006,1,Federal government public administration[911],35750
2006,1,"Fishing, hunting and trapping[114]",3500
2006,1,Food and beverage stores[445],70250
2006,1,Food manufacturing[311],15000
2006,1,Food services and drinking places[722],133750
2006,1,"Food, beverage and tobacco merchant wholesalers[413]",9500
2006,1,Forestry and logging[113],10250
2006,1,Funds and other financial vehicles[526],0
2006,1,Furniture and home furnishings stores[442],10500
2006,1,Furniture and related product manufacturing[337],4250
2006,1,Gasoline stations[447],13500
2006,1,General merchandise stores[452],24750
2006,1,Health and personal care stores[446],20000
2006,1,Heavy and civil engineering construction[237],15250
2006,1,Heritage institutions[712],3000
2006,1,Hospitals[622],71750
2006,1,Insurance carriers and related activities[524],29250
2006,1,International and other extra-territorial public administration[919],250
2006,1,Leather and allied product manufacturing[316],0
2006,1,Lessors of non-financial intangible assets (except copyrighted works)[533],0
2006,1,"Local, municipal and regional public administration[913]",24250
2006,1,Machinery manufacturing[333],10250
2006,1,"Machinery, equipment and supplies merchant wholesalers[417]",20500
2006,1,Management of companies and enterprises[551],0
2006,1,Mining and quarrying (except oil and gas)[212],7250
2006,1,Miscellaneous manufacturing[339],10750
2006,1,Miscellaneous merchant wholesalers[418],13250
2006,1,Miscellaneous store retailers[453],24250
2006,1,Motion picture and sound recording industries[512],7000
2006,1,Motor vehicle and motor vehicle parts and accessories merchant wholesalers[415],9500
2006,1,Motor vehicle and parts dealers[441],26500
2006,1,Non-metallic mineral product manufacturing[327],6000
2006,1,Non-store retailers[454],9500
2006,1,Nursing and residential care facilities[623],38750
2006,1,Oil and gas extraction[211],1750
2006,1,Other,3000
2006,1,Other information services[519],4000
2006,1,Paper manufacturing[322],11750
2006,1,"Performing arts, spectator sports and related industries[711]",25000
2006,1,Personal and household goods merchant wholesalers[414],10000
2006,1,Personal and laundry services[812],33750
2006,1,Petroleum and coal product manufacturing[324],1000
2006,1,Petroleum and petroleum products merchant wholesalers[412],250
2006,1,Pipeline transportation[486],0
2006,1,Plastics and rubber products manufacturing[326],8250
